source_period,year,case_id,case_type,event_window_start,event_window_end,max_price,min_price,avg_price,dominant_time_band,regime_group,avg_imbalance,avg_wind,avg_gas,avg_interconnectors,internal_driver_summary,price_behaviour,regime_interpretation,paper_use
2023_2024,2023,Case 1,q1_compound_scarcity_spike,2023-03-07,,1950.0,,,evening_peak,q1_stress,,,,,compound_scarcity+q1_stress+upper_tail_spike,Major positive spike event,Q1 2023 represents a compound scarcity architecture where elevated price risk was linked to broad system stress rather than a single isolated driver.,Use as the main 2023 stress benchmark. This case anchors the paper's argument that 2023 upper-tail imbalance prices were concentrated in a Q1 scarcity regime.
2023_2024,2024,Case 2,late_year_transition_spike,2024-10-14,,669.212,,,evening_peak,oct_nov_transition,,,,,late_year_transition+upper_tail_return,Positive spike event,October–November 2024 marks a late-year transition regime where upper-tail stress began to reappear after a quiet first half of the year.,"Use as a transition case showing that 2024 stress did not emerge in Q1 like 2023, but began to return later in the year."
2023_2024,2024,Case 3,december_physical_scarcity_spike,2024-12-11,,590.4504,,,midday,dec_stress,,,,,physical_scarcity+low_wind+high_gas+december_stress,Positive spike event,"December 2024 represents the main physical scarcity regime of 2024, with upper-tail events linked to tighter physical system conditions.","Use as the main 2024 stress benchmark. This case supports the argument that 2024 scarcity was late-year and physically driven, unlike the broader Q1 2023 stress regime."
2023_2024,2024,Case 4,december_physical_scarcity_spike,2024-12-12,,521.0884,,,evening_peak,dec_stress,,,,,physical_scarcity+low_wind+high_gas+december_stress,Positive spike event,"December 2024 represents the main physical scarcity regime of 2024, with upper-tail events linked to tighter physical system conditions.","Use as the main 2024 stress benchmark. This case supports the argument that 2024 scarcity was late-year and physically driven, unlike the broader Q1 2023 stress regime."
2025,2025,2025_case_01_jan_08_extreme_spike,extreme_positive_spike,2025-01-08 10:00:00+00:00,2025-01-08 21:30:00+00:00,2900.0,112.0,983.3562,midday,jan_spike_stress,112.5269,2819.466,24021.7191,4141.3457,sudden_price_movement_check_internal_and_external_context,,,
2025,2025,2025_case_02_jan_20_evening_scarcity,evening_scarcity_spike,2025-01-20 05:00:00+00:00,2025-01-20 21:00:00+00:00,678.4771,87.85,309.4849,evening_peak,jan_spike_stress,53.5501,2281.3333,26359.8125,1845.6667,sudden_price_movement_check_internal_and_external_context,,,
2025,2025,2025_case_03_jan_22_morning_ramp_scarcity,morning_ramp_scarcity_spike,2025-01-22 04:30:00+00:00,2025-01-22 09:00:00+00:00,450.0,199.0697,355.8139,morning_ramp,jan_spike_stress,146.2095,113.4,25978.6,2085.2,sudden_price_movement_check_internal_and_external_context,,,
2025,2025,2025_case_04_jun_30_mixed_tail_spike,mixed_tail_positive_spike,2025-06-30 14:30:00+00:00,2025-06-30 21:30:00+00:00,423.85,76.3,279.0315,evening_peak,jun_mixed_tail,650.2377,7082.8194,12475.2639,1144.5278,low_wind+very_positive_imbalance+lower_interconnector_support,,,
2025,2025,2025_case_05_jul_01_near_spike,near_spike_continuation,2025-07-01 15:00:00+00:00,2025-07-01 19:30:00+00:00,263.58,102.0,219.425,evening_peak,jul_sep_surplus,235.9436,4023.5,14227.75,2328.5,sudden_price_movement_check_internal_and_external_context,,,
2025,2025,2025_case_06_oct_13_autumn_spike,autumn_mixed_transition_spike,2025-10-13 09:30:00+00:00,2025-10-13 19:30:00+00:00,487.0,95.0,297.8783,midday,oct_mixed_transition,180.1893,1040.6667,21930.8056,3337.0,sudden_price_movement_check_internal_and_external_context,,,
2025,2025,2025_case_07_oct_14_evening_spike,autumn_evening_spike,2025-10-14 15:00:00+00:00,2025-10-14 19:00:00+00:00,300.0,90.0,247.5,evening_peak,oct_mixed_transition,10.2585,3639.5,22552.75,1931.0,sudden_price_movement_check_internal_and_external_context,,,
2025,2025,2025_case_08_oct_22_evening_spike,autumn_evening_spike,2025-10-22 13:30:00+00:00,2025-10-22 19:30:00+00:00,315.1,76.41,230.9938,evening_peak,oct_mixed_transition,274.7258,2228.375,19440.125,3955.9167,sudden_price_movement_check_internal_and_external_context,,,
2025,2025,2025_case_09_mar_30_negative_price_cluster,negative_price_cluster,2025-03-30 01:30:00+00:00,2025-03-30 18:00:00+00:00,-0.46,-95.0,-16.1505,night,feb_mar_broad_stress,-929.5982,14155.119,3201.7593,-1428.2434,high_wind+negative_imbalance+lower_interconnector_support,,,
2025,2025,2025_case_10_apr_05_negative_price_cluster,negative_price_cluster,2025-04-05 03:00:00+00:00,2025-04-05 17:30:00+00:00,105.0,-87.32,13.0547,afternoon,apr_may_surplus_shift,-322.3418,8131.375,2573.75,3427.0,low_wind+negative_imbalance,,,
2025,2025,2025_case_11_jun_22_negative_price_cluster,negative_price_cluster,2025-06-22 00:30:00+00:00,2025-06-22 17:30:00+00:00,-1.23,-78.67,-34.7837,afternoon,jun_mixed_tail,-899.4649,10424.7778,2475.8889,583.3333,high_wind+negative_imbalance+lower_interconnector_support,,,
2025,2025,2025_case_12_sep_06_negative_price_cluster,negative_price_cluster,2025-09-06 07:00:00+00:00,2025-09-06 23:30:00+00:00,-0.75,-87.0,-20.827,late_evening,jul_sep_surplus,-502.2066,17526.3873,4178.4706,-1412.9216,high_wind+negative_imbalance+lower_interconnector_support,,,
