case_id,case_type,regime_group,max_price,internal_driver_summary,dominant_remit_assets,remit_context_type,paper_ready_remit_framing
2025_case_01_jan_08_extreme_spike,extreme_positive_spike,jan_spike_stress,2900.0,sudden_price_movement_check_internal_and_external_context,"NGIFA, KGL, NGVLL, MEDWAY, BEGL001",case_specific_external_context,"For 2025_case_01_jan_08_extreme_spike, REMIT evidence shows asset-level external context during the extreme_positive_spike case. The dominant assets were NGIFA, KGL, NGVLL, MEDWAY, BEGL001. Some assets appear relatively case-specific, so the REMIT evidence can be discussed as a potentially relevant external reinforcement. However, the primary explanation should remain the internal market fingerprint: sudden_price_movement_check_internal_and_external_context, within the jan_spike_stress regime."
2025_case_02_jan_20_evening_scarcity,evening_scarcity_spike,jan_spike_stress,678.4771,sudden_price_movement_check_internal_and_external_context,"NGIFA, CENLANG, BEGL001, DRAX, INNOGY01",case_specific_external_context,"For 2025_case_02_jan_20_evening_scarcity, REMIT evidence shows asset-level external context during the evening_scarcity_spike case. The dominant assets were NGIFA, CENLANG, BEGL001, DRAX, INNOGY01. Some assets appear relatively case-specific, so the REMIT evidence can be discussed as a potentially relevant external reinforcement. However, the primary explanation should remain the internal market fingerprint: sudden_price_movement_check_internal_and_external_context, within the jan_spike_stress regime."
2025_case_03_jan_22_morning_ramp_scarcity,morning_ramp_scarcity_spike,jan_spike_stress,450.0,sudden_price_movement_check_internal_and_external_context,"NGIFA, BEGL001, DRAX, KGL, EECL",case_specific_external_context,"For 2025_case_03_jan_22_morning_ramp_scarcity, REMIT evidence shows asset-level external context during the morning_ramp_scarcity_spike case. The dominant assets were NGIFA, BEGL001, DRAX, KGL, EECL. Some assets appear relatively case-specific, so the REMIT evidence can be discussed as a potentially relevant external reinforcement. However, the primary explanation should remain the internal market fingerprint: sudden_price_movement_check_internal_and_external_context, within the jan_spike_stress regime."
2025_case_04_jun_30_mixed_tail_spike,mixed_tail_positive_spike,jun_mixed_tail,423.85,low_wind+very_positive_imbalance+lower_interconnector_support,"NGIFA, KGL, SPGEN01, SEABANK, CECL",case_specific_external_context,"For 2025_case_04_jun_30_mixed_tail_spike, REMIT evidence shows asset-level external context during the mixed_tail_positive_spike case. The dominant assets were NGIFA, KGL, SPGEN01, SEABANK, CECL. Some assets appear relatively case-specific, so the REMIT evidence can be discussed as a potentially relevant external reinforcement. However, the primary explanation should remain the internal market fingerprint: low_wind+very_positive_imbalance+lower_interconnector_support, within the jun_mixed_tail regime."
2025_case_05_jul_01_near_spike,near_spike_continuation,jul_sep_surplus,263.58,sudden_price_movement_check_internal_and_external_context,"KGL, SPGEN01, SEABANK, CECL, INNOGY01",case_specific_external_context,"For 2025_case_05_jul_01_near_spike, REMIT evidence shows asset-level external context during the near_spike_continuation case. The dominant assets were KGL, SPGEN01, SEABANK, CECL, INNOGY01. Some assets appear relatively case-specific, so the REMIT evidence can be discussed as a potentially relevant external reinforcement. However, the primary explanation should remain the internal market fingerprint: sudden_price_movement_check_internal_and_external_context, within the jul_sep_surplus regime."
2025_case_06_oct_13_autumn_spike,autumn_mixed_transition_spike,oct_mixed_transition,487.0,sudden_price_movement_check_internal_and_external_context,"ELECL1, NGIFA, ICHPLLP, BEGL001, DRAX",case_specific_external_context,"For 2025_case_06_oct_13_autumn_spike, REMIT evidence shows asset-level external context during the autumn_mixed_transition_spike case. The dominant assets were ELECL1, NGIFA, ICHPLLP, BEGL001, DRAX. Some assets appear relatively case-specific, so the REMIT evidence can be discussed as a potentially relevant external reinforcement. However, the primary explanation should remain the internal market fingerprint: sudden_price_movement_check_internal_and_external_context, within the oct_mixed_transition regime."
2025_case_07_oct_14_evening_spike,autumn_evening_spike,oct_mixed_transition,300.0,sudden_price_movement_check_internal_and_external_context,"ELECL1, NGIFA, ICHPLLP, BEGL001, DRAX",case_specific_external_context,"For 2025_case_07_oct_14_evening_spike, REMIT evidence shows asset-level external context during the autumn_evening_spike case. The dominant assets were ELECL1, NGIFA, ICHPLLP, BEGL001, DRAX. Some assets appear relatively case-specific, so the REMIT evidence can be discussed as a potentially relevant external reinforcement. However, the primary explanation should remain the internal market fingerprint: sudden_price_movement_check_internal_and_external_context, within the oct_mixed_transition regime."
2025_case_08_oct_22_evening_spike,autumn_evening_spike,oct_mixed_transition,315.1,sudden_price_movement_check_internal_and_external_context,"ICHPLLP, BEGL001, DRAX, KGL, EECL",case_specific_external_context,"For 2025_case_08_oct_22_evening_spike, REMIT evidence shows asset-level external context during the autumn_evening_spike case. The dominant assets were ICHPLLP, BEGL001, DRAX, KGL, EECL. Some assets appear relatively case-specific, so the REMIT evidence can be discussed as a potentially relevant external reinforcement. However, the primary explanation should remain the internal market fingerprint: sudden_price_movement_check_internal_and_external_context, within the oct_mixed_transition regime."
2025_case_09_mar_30_negative_price_cluster,negative_price_cluster,feb_mar_broad_stress,-0.46,high_wind+negative_imbalance+lower_interconnector_support,"INNOGY01, DRAX, BEGL001, KGL, EECL",repeated_background_external_context,"For 2025_case_09_mar_30_negative_price_cluster, REMIT evidence shows material asset unavailability during the case window, with dominant assets including INNOGY01, DRAX, BEGL001, KGL, EECL. However, several of these assets recur across many 2025 case windows, so the evidence should be framed as repeated external availability background rather than direct single-event causality. The case should be interpreted primarily through the internal market fingerprint: high_wind+negative_imbalance+lower_interconnector_support, within the feb_mar_broad_stress regime, with REMIT providing supporting external context."
2025_case_10_apr_05_negative_price_cluster,negative_price_cluster,apr_may_surplus_shift,105.0,low_wind+negative_imbalance,"NGIFA, KGL, SEABANK, DRAX, BEGL001",case_specific_external_context,"For 2025_case_10_apr_05_negative_price_cluster, REMIT evidence shows asset-level external context during the negative_price_cluster case. The dominant assets were NGIFA, KGL, SEABANK, DRAX, BEGL001. Some assets appear relatively case-specific, so the REMIT evidence can be discussed as a potentially relevant external reinforcement. However, the primary explanation should remain the internal market fingerprint: low_wind+negative_imbalance, within the apr_may_surplus_shift regime."
